City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
263,Nantucket,US,41.2835,-70.0995,33.15,69,100,12.66,overcast clouds
264,Raudeberg,NO,61.9875,5.1352,39.87,1,100,24.52,light snow
265,Richards Bay,ZA,-28.783,32.0377,73.47,90,100,12.82,overcast clouds
266,Rasskazovo,RU,52.6714,41.9033,22.89,97,100,5.32,light snow
267,Sao Filipe,CV,14.8961,-24.4956,70.41,73,100,10.96,overcast clouds
268,Ribeira Grande,PT,38.5167,-28.7,53.78,83,95,8.99,overcast clouds
269,Sinazongwe,ZM,-17.2614,27.4618,72.27,87,77,1.28,light rain
270,Gamba,GA,-2.65,10.0,76.64,87,100,5.39,overcast clouds
271,Lasa,IT,46.6166,10.7002,38.28,89,24,6.58,few clouds
272,Souillac,MU,-20.5167,57.5167,77.38,88,40,6.91,scattered clouds
273,Kailua,US,21.4022,-157.7394,83.61,79,20,6.91,few clouds
274,Grand Gaube,MU,-20.0064,57.6608,77.4,83,100,3.0,overcast clouds
275,Chernyanka,RU,50.9409,37.8069,24.8,86,78,4.9,light snow
276,Ryki,PL,51.6257,21.9327,36.59,49,100,19.64,overcast clouds
277,Vao,NC,-22.6667,167.4833,79.12,76,84,10.36,broken clouds
278,Jaciara,BR,-15.9653,-54.9683,71.22,95,100,1.52,overcast clouds
279,Gangakher,IN,18.95,76.75,66.25,57,29,5.28,scattered clouds
280,Bajil,YE,15.0584,43.2851,71.85,73,80,2.24,broken clouds
281,Itapemirim,BR,-21.0111,-40.8339,74.43,89,100,14.0,overcast clouds
282,Rafsanjan,IR,30.4067,55.9939,48.99,37,82,4.18,broken clouds
283,Ancud,CL,-41.8697,-73.8203,52.88,81,1,3.22,clear sky
284,Biak,ID,-0.9131,122.8766,81.79,73,85,2.17,overcast clouds
285,Hasaki,JP,35.7333,140.8333,50.4,50,4,17.72,clear sky
286,Nanortalik,GL,60.1432,-45.2371,14.27,84,100,5.37,overcast clouds
287,Katangli,RU,51.7102,143.2326,2.44,82,29,12.01,scattered clouds
288,Summerside,CA,46.3959,-63.7876,16.14,73,98,8.05,overcast clouds
289,Santa Cecilia,BR,-26.9608,-50.4269,58.91,98,39,1.88,scattered clouds
290,Fuerte Olimpo,PY,-21.0415,-57.8738,71.98,95,100,3.58,overcast clouds
291,Santa Maria,BR,-29.6842,-53.8069,74.5,69,0,3.44,clear sky
292,Pingliang,CN,35.5392,106.6861,28.45,22,99,4.34,overcast clouds
293,Stokmarknes,NO,68.5646,14.9108,30.16,100,72,3.44,broken clouds
294,Portland,US,45.5234,-122.6762,39.34,64,75,3.44,broken clouds
295,Tuatapere,NZ,-46.1333,167.6833,68.72,74,100,2.15,light rain
296,Cayenne,GF,4.9333,-52.3333,75.24,94,75,0.0,broken clouds
297,Puerto Asis,CO,0.5133,-76.5007,74.59,62,81,1.99,broken clouds
298,Hearst,CA,49.6835,-83.6665,-12.75,100,96,2.66,overcast clouds
299,Halifax,CA,44.6453,-63.5724,22.69,83,75,5.99,light snow
300,Waingapu,ID,-9.6567,120.2641,85.46,70,84,10.0,broken clouds
301,Longyearbyen,SJ,78.2186,15.6401,15.64,67,20,14.97,few clouds
302,Faya,SA,18.3851,42.4509,48.72,56,78,4.63,broken clouds
303,Bend,US,44.0582,-121.3153,37.99,54,75,8.05,broken clouds
304,Byron Bay,AU,-28.65,153.6167,84.94,82,48,9.33,scattered clouds
305,Quang Ngai,VN,15.1167,108.8,72.46,81,93,1.34,overcast clouds
306,Beloha,MG,-25.1667,45.05,69.4,78,25,12.35,scattered clouds
307,Komsomolskiy,UZ,40.4272,71.7189,30.92,80,100,2.3,mist
308,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.73,85,44,20.29,scattered clouds
309,Casa Grande,US,32.8795,-111.7573,57.11,70,0,6.91,clear sky
310,Namatanai,PG,-3.6667,152.4333,83.55,71,99,5.88,light rain
311,Pontes E Lacerda,BR,-15.2261,-59.3353,71.51,98,95,3.83,overcast clouds
312,Gazojak,TM,41.1875,61.4036,39.96,83,100,15.61,overcast clouds
313,Reconquista,AR,-29.15,-59.65,80.37,27,0,7.25,clear sky
314,San Rafael,AR,-34.6177,-68.3301,69.4,63,13,15.79,few clouds
